0.000000000000000000e+00 4.519993135181721300e+01 2.105403124005533755e+00
4.000000000000000222e-01 1.274772455690253992e+01 -2.715736637037480250e+01
8.000000000000000444e-01 -5.328141782774764579e+01 -8.646911738651397172e+01
1.200000000000000178e+00 -1.108022629287006566e+02 -1.305007785995258018e+02
1.600000000000000089e+00 -1.385683401076676091e+02 -1.512493311311118305e+02
2.000000000000000000e+00 -1.403763471571437549e+02 -1.509027642896398902e+02
2.400000000000000355e+00 -1.317946335166197969e+02 -1.360443681678589201e+02
2.800000000000000266e+00 -1.247868816753907595e+02 -1.310175736543897074e+02
3.200000000000000178e+00 -1.217534636471100384e+02 -1.301293599681230262e+02
3.600000000000000089e+00 -1.192622327671415405e+02 -1.301288407357787946e+02
4.000000000000000000e+00 -1.134058224688487826e+02 -1.253738773084478453e+02
4.400000000000000355e+00 -1.030198841635865392e+02 -1.139693373879708815e+02
4.800000000000000711e+00 -8.924639867109362967e+01 -9.901764122150780167e+01
5.200000000000000178e+00 -7.366814428496581968e+01 -8.337134644352772739e+01
5.600000000000000533e+00 -5.782534066747757606e+01 -6.856852244527544826e+01
6.000000000000000000e+00 -4.335619573430449236e+01 -5.656141718645812944e+01
6.400000000000000355e+00 -3.141069045886979438e+01 -4.733397965901531279e+01
6.800000000000000711e+00 -2.230610976766911335e+01 -3.982528613232716452e+01
7.200000000000000178e+00 -1.572405306797008961e+01 -3.424034350973670371e+01
7.600000000000000533e+00 -1.109057751091313548e+01 -2.879943129664752632e+01
